cancer,year,sex,race,stage,age,summary_interval,starting_count,net_relative,net_rel_cum_cis_lower,net_rel_cum_cis_upper
all cancer sites,2000-2017,all sexes,white,late,>65,36 mo,246121,39.7,39.5,39.9
all cancer sites,2000-2017,all sexes,white,late,>65,48 mo,246121,35.9,35.7,36.1
all cancer sites,2000-2017,all sexes,white,late,>65,60 mo,246121,33,32.7,33.2
all cancer sites,2000-2017,all sexes,white,late,>65,72 mo,246121,30.7,30.4,30.9
all cancer sites,2000-2017,all sexes,white,late,>65,84 mo,246121,28.7,28.5,29
all cancer sites,2000-2017,all sexes,white,late,>65,96 mo,246121,26.9,26.7,27.2
all cancer sites,2000-2017,all sexes,white,late,>65,108 mo,246121,25.4,25.1,25.6
all cancer sites,2000-2017,all sexes,white,late,>65,120 mo,246121,23.9,23.6,24.3
all cancer sites,2000-2017,all sexes,white,unstaged,all ages,0 mo,66782,100,NA,NA
all cancer sites,2000-2017,all sexes,white,unstaged,all ages,12 mo,66782,52.8,52.4,53.2
all cancer sites,2000-2017,all sexes,white,unstaged,all ages,24 mo,66782,45.5,45.1,45.9
all cancer sites,2000-2017,all sexes,white,unstaged,all ages,36 mo,66782,41.6,41.2,42
all cancer sites,2000-2017,all sexes,white,unstaged,all ages,48 mo,66782,39,38.6,39.5
all cancer sites,2000-2017,all sexes,white,unstaged,all ages,60 mo,66782,37.1,36.6,37.5
all cancer sites,2000-2017,all sexes,white,unstaged,all ages,72 mo,66782,35.3,34.8,35.7
all cancer sites,2000-2017,all sexes,white,unstaged,all ages,84 mo,66782,33.7,33.2,34.1
all cancer sites,2000-2017,all sexes,white,unstaged,all ages,96 mo,66782,32.4,31.8,32.9
all cancer sites,2000-2017,all sexes,white,unstaged,all ages,108 mo,66782,30.8,30.3,31.4
all cancer sites,2000-2017,all sexes,white,unstaged,all ages,120 mo,66782,29.7,29.1,30.2
all cancer sites,2000-2017,all sexes,white,unstaged,<65,0 mo,18631,100,NA,NA
all cancer sites,2000-2017,all sexes,white,unstaged,<65,12 mo,18631,69.9,69.2,70.5
all cancer sites,2000-2017,all sexes,white,unstaged,<65,24 mo,18631,62.9,62.2,63.6
all cancer sites,2000-2017,all sexes,white,unstaged,<65,36 mo,18631,59.6,58.9,60.3
all cancer sites,2000-2017,all sexes,white,unstaged,<65,48 mo,18631,57.3,56.5,58
all cancer sites,2000-2017,all sexes,white,unstaged,<65,60 mo,18631,55.6,54.8,56.3
all cancer sites,2000-2017,all sexes,white,unstaged,<65,72 mo,18631,54,53.2,54.7
all cancer sites,2000-2017,all sexes,white,unstaged,<65,84 mo,18631,52.7,51.9,53.5
all cancer sites,2000-2017,all sexes,white,unstaged,<65,96 mo,18631,51.5,50.7,52.3
all cancer sites,2000-2017,all sexes,white,unstaged,<65,108 mo,18631,50.5,49.7,51.3
all cancer sites,2000-2017,all sexes,white,unstaged,<65,120 mo,18631,49.6,48.8,50.5
all cancer sites,2000-2017,all sexes,white,unstaged,>65,0 mo,48151,100,NA,NA
all cancer sites,2000-2017,all sexes,white,unstaged,>65,12 mo,48151,46.1,45.7,46.6
all cancer sites,2000-2017,all sexes,white,unstaged,>65,24 mo,48151,38.7,38.3,39.2
all cancer sites,2000-2017,all sexes,white,unstaged,>65,36 mo,48151,34.6,34.2,35.1
all cancer sites,2000-2017,all sexes,white,unstaged,>65,48 mo,48151,32,31.5,32.5
all cancer sites,2000-2017,all sexes,white,unstaged,>65,60 mo,48151,30,29.5,30.5
all cancer sites,2000-2017,all sexes,white,unstaged,>65,72 mo,48151,28.1,27.6,28.7
all cancer sites,2000-2017,all sexes,white,unstaged,>65,84 mo,48151,26.4,25.8,27
all cancer sites,2000-2017,all sexes,white,unstaged,>65,96 mo,48151,25.1,24.5,25.7
all cancer sites,2000-2017,all sexes,white,unstaged,>65,108 mo,48151,23.4,22.7,24
all cancer sites,2000-2017,all sexes,white,unstaged,>65,120 mo,48151,22.1,21.5,22.8
all cancer sites,2000-2017,all sexes,black,invasive,all ages,0 mo,94789,100,NA,NA
all cancer sites,2000-2017,all sexes,black,invasive,all ages,12 mo,94789,76.4,76.1,76.7
all cancer sites,2000-2017,all sexes,black,invasive,all ages,24 mo,94789,68.6,68.3,69
all cancer sites,2000-2017,all sexes,black,invasive,all ages,36 mo,94789,64.4,64.1,64.8
all cancer sites,2000-2017,all sexes,black,invasive,all ages,48 mo,94789,61.8,61.4,62.1
all cancer sites,2000-2017,all sexes,black,invasive,all ages,60 mo,94789,59.7,59.3,60.1
all cancer sites,2000-2017,all sexes,black,invasive,all ages,72 mo,94789,58.1,57.6,58.5
all cancer sites,2000-2017,all sexes,black,invasive,all ages,84 mo,94789,56.8,56.3,57.2
all cancer sites,2000-2017,all sexes,black,invasive,all ages,96 mo,94789,55.5,55,56
all cancer sites,2000-2017,all sexes,black,invasive,all ages,108 mo,94789,54.4,53.9,54.9
all cancer sites,2000-2017,all sexes,black,invasive,all ages,120 mo,94789,53.3,52.7,53.8
all cancer sites,2000-2017,all sexes,black,invasive,<65,0 mo,53202,100,NA,NA
all cancer sites,2000-2017,all sexes,black,invasive,<65,12 mo,53202,81.7,81.4,82
all cancer sites,2000-2017,all sexes,black,invasive,<65,24 mo,53202,74,73.6,74.4
all cancer sites,2000-2017,all sexes,black,invasive,<65,36 mo,53202,69.8,69.4,70.2
all cancer sites,2000-2017,all sexes,black,invasive,<65,48 mo,53202,67.2,66.7,67.6
all cancer sites,2000-2017,all sexes,black,invasive,<65,60 mo,53202,65.2,64.7,65.6
all cancer sites,2000-2017,all sexes,black,invasive,<65,72 mo,53202,63.6,63.1,64
all cancer sites,2000-2017,all sexes,black,invasive,<65,84 mo,53202,62.3,61.8,62.8
all cancer sites,2000-2017,all sexes,black,invasive,<65,96 mo,53202,61.2,60.7,61.7
all cancer sites,2000-2017,all sexes,black,invasive,<65,108 mo,53202,60.3,59.8,60.9
all cancer sites,2000-2017,all sexes,black,invasive,<65,120 mo,53202,59.6,59,60.1
all cancer sites,2000-2017,all sexes,black,invasive,>65,0 mo,41587,100,NA,NA
all cancer sites,2000-2017,all sexes,black,invasive,>65,12 mo,41587,69.6,69.2,70.1
all cancer sites,2000-2017,all sexes,black,invasive,>65,24 mo,41587,61.8,61.3,62.4
all cancer sites,2000-2017,all sexes,black,invasive,>65,36 mo,41587,57.5,57,58.1
all cancer sites,2000-2017,all sexes,black,invasive,>65,48 mo,41587,54.8,54.2,55.4
all cancer sites,2000-2017,all sexes,black,invasive,>65,60 mo,41587,52.8,52.1,53.4
all cancer sites,2000-2017,all sexes,black,invasive,>65,72 mo,41587,51,50.3,51.7
all cancer sites,2000-2017,all sexes,black,invasive,>65,84 mo,41587,49.7,48.9,50.4
all cancer sites,2000-2017,all sexes,black,invasive,>65,96 mo,41587,48.3,47.5,49
all cancer sites,2000-2017,all sexes,black,invasive,>65,108 mo,41587,46.9,46.1,47.8
all cancer sites,2000-2017,all sexes,black,invasive,>65,120 mo,41587,45.4,44.5,46.3
all cancer sites,2000-2017,all sexes,black,early,all ages,0 mo,47123,100,NA,NA
all cancer sites,2000-2017,all sexes,black,early,all ages,12 mo,47123,96.2,95.9,96.4
all cancer sites,2000-2017,all sexes,black,early,all ages,24 mo,47123,94,93.7,94.3
all cancer sites,2000-2017,all sexes,black,early,all ages,36 mo,47123,92.5,92.1,92.8
all cancer sites,2000-2017,all sexes,black,early,all ages,48 mo,47123,91.5,91,91.9
all cancer sites,2000-2017,all sexes,black,early,all ages,60 mo,47123,90.4,89.9,90.9
all cancer sites,2000-2017,all sexes,black,early,all ages,72 mo,47123,89.5,89,90
all cancer sites,2000-2017,all sexes,black,early,all ages,84 mo,47123,88.7,88.1,89.2
all cancer sites,2000-2017,all sexes,black,early,all ages,96 mo,47123,87.7,87,88.3
all cancer sites,2000-2017,all sexes,black,early,all ages,108 mo,47123,86.8,86.1,87.5
all cancer sites,2000-2017,all sexes,black,early,all ages,120 mo,47123,85.7,84.9,86.5
all cancer sites,2000-2017,all sexes,black,early,<65,0 mo,28061,100,NA,NA
all cancer sites,2000-2017,all sexes,black,early,<65,12 mo,28061,97.2,97,97.5
all cancer sites,2000-2017,all sexes,black,early,<65,24 mo,28061,95.4,95,95.7
all cancer sites,2000-2017,all sexes,black,early,<65,36 mo,28061,93.9,93.6,94.3
all cancer sites,2000-2017,all sexes,black,early,<65,48 mo,28061,92.9,92.5,93.3
all cancer sites,2000-2017,all sexes,black,early,<65,60 mo,28061,91.9,91.4,92.3
all cancer sites,2000-2017,all sexes,black,early,<65,72 mo,28061,91,90.5,91.5
all cancer sites,2000-2017,all sexes,black,early,<65,84 mo,28061,90.4,89.8,90.9
all cancer sites,2000-2017,all sexes,black,early,<65,96 mo,28061,89.7,89.1,90.3
all cancer sites,2000-2017,all sexes,black,early,<65,108 mo,28061,89.2,88.6,89.8
all cancer sites,2000-2017,all sexes,black,early,<65,120 mo,28061,88.6,87.9,89.2
all cancer sites,2000-2017,all sexes,black,early,>65,0 mo,19062,100,NA,NA
all cancer sites,2000-2017,all sexes,black,early,>65,12 mo,19062,94.6,94.1,95
all cancer sites,2000-2017,all sexes,black,early,>65,24 mo,19062,92.1,91.5,92.6
all cancer sites,2000-2017,all sexes,black,early,>65,36 mo,19062,90.4,89.7,91
all cancer sites,2000-2017,all sexes,black,early,>65,48 mo,19062,89.4,88.6,90.2
all cancer sites,2000-2017,all sexes,black,early,>65,60 mo,19062,88.3,87.4,89.2
all cancer sites,2000-2017,all sexes,black,early,>65,72 mo,19062,87.3,86.2,88.2
all cancer sites,2000-2017,all sexes,black,early,>65,84 mo,19062,86.2,85,87.3
all cancer sites,2000-2017,all sexes,black,early,>65,96 mo,19062,84.8,83.5,86
all cancer sites,2000-2017,all sexes,black,early,>65,108 mo,19062,83.4,81.9,84.8
all cancer sites,2000-2017,all sexes,black,early,>65,120 mo,19062,81.7,80,83.2
all cancer sites,2000-2017,all sexes,black,late,all ages,0 mo,46447,100,NA,NA
all cancer sites,2000-2017,all sexes,black,late,all ages,12 mo,46447,62.4,62,62.9
all cancer sites,2000-2017,all sexes,black,late,all ages,24 mo,46447,50,49.5,50.4
all cancer sites,2000-2017,all sexes,black,late,all ages,36 mo,46447,43.5,43,44
all cancer sites,2000-2017,all sexes,black,late,all ages,48 mo,46447,39.5,39,40
all cancer sites,2000-2017,all sexes,black,late,all ages,60 mo,46447,36.7,36.2,37.2
all cancer sites,2000-2017,all sexes,black,late,all ages,72 mo,46447,34.4,33.9,34.9
all cancer sites,2000-2017,all sexes,black,late,all ages,84 mo,46447,32.8,32.2,33.3
all cancer sites,2000-2017,all sexes,black,late,all ages,96 mo,46447,31.4,30.8,31.9
all cancer sites,2000-2017,all sexes,black,late,all ages,108 mo,46447,30,29.4,30.5
all cancer sites,2000-2017,all sexes,black,late,all ages,120 mo,46447,28.9,28.3,29.5
all cancer sites,2000-2017,all sexes,black,late,<65,0 mo,26016,100,NA,NA
all cancer sites,2000-2017,all sexes,black,late,<65,12 mo,26016,69.5,69,70.1
all cancer sites,2000-2017,all sexes,black,late,<65,24 mo,26016,56.6,56,57.2
all cancer sites,2000-2017,all sexes,black,late,<65,36 mo,26016,50.1,49.5,50.8
all cancer sites,2000-2017,all sexes,black,late,<65,48 mo,26016,46.2,45.5,46.8
all cancer sites,2000-2017,all sexes,black,late,<65,60 mo,26016,43.3,42.6,43.9
all cancer sites,2000-2017,all sexes,black,late,<65,72 mo,26016,41,40.3,41.7
all cancer sites,2000-2017,all sexes,black,late,<65,84 mo,26016,39.3,38.6,39.9
all cancer sites,2000-2017,all sexes,black,late,<65,96 mo,26016,37.9,37.2,38.6
all cancer sites,2000-2017,all sexes,black,late,<65,108 mo,26016,36.6,35.9,37.4
all cancer sites,2000-2017,all sexes,black,late,<65,120 mo,26016,35.8,35,36.5
all cancer sites,2000-2017,all sexes,black,late,>65,0 mo,20431,100,NA,NA
all cancer sites,2000-2017,all sexes,black,late,>65,12 mo,20431,53.4,52.7,54.1
all cancer sites,2000-2017,all sexes,black,late,>65,24 mo,20431,41.5,40.7,42.2
all cancer sites,2000-2017,all sexes,black,late,>65,36 mo,20431,35.1,34.4,35.9
all cancer sites,2000-2017,all sexes,black,late,>65,48 mo,20431,31,30.2,31.7
all cancer sites,2000-2017,all sexes,black,late,>65,60 mo,20431,28.3,27.6,29.1
all cancer sites,2000-2017,all sexes,black,late,>65,72 mo,20431,26.1,25.3,26.9
all cancer sites,2000-2017,all sexes,black,late,>65,84 mo,20431,24.5,23.7,25.4
all cancer sites,2000-2017,all sexes,black,late,>65,96 mo,20431,23,22.2,23.9
all cancer sites,2000-2017,all sexes,black,late,>65,108 mo,20431,21.5,20.6,22.4
all cancer sites,2000-2017,all sexes,black,late,>65,120 mo,20431,20.1,19.2,21.1
all cancer sites,2000-2017,all sexes,black,unstaged,all ages,0 mo,6993,100,NA,NA
all cancer sites,2000-2017,all sexes,black,unstaged,all ages,12 mo,6993,55.1,53.9,56.3
all cancer sites,2000-2017,all sexes,black,unstaged,all ages,24 mo,6993,46.8,45.5,48
all cancer sites,2000-2017,all sexes,black,unstaged,all ages,36 mo,6993,42,40.7,43.2
all cancer sites,2000-2017,all sexes,black,unstaged,all ages,48 mo,6993,39.3,38,40.6
all cancer sites,2000-2017,all sexes,black,unstaged,all ages,60 mo,6993,36.9,35.5,38.2
all cancer sites,2000-2017,all sexes,black,unstaged,all ages,72 mo,6993,34.9,33.5,36.3
all cancer sites,2000-2017,all sexes,black,unstaged,all ages,84 mo,6993,33.2,31.8,34.6
all cancer sites,2000-2017,all sexes,black,unstaged,all ages,96 mo,6993,31.4,29.9,32.9
all cancer sites,2000-2017,all sexes,black,unstaged,all ages,108 mo,6993,30.5,29,32.1
all cancer sites,2000-2017,all sexes,black,unstaged,all ages,120 mo,6993,29.3,27.7,30.9
all cancer sites,2000-2017,all sexes,black,unstaged,<65,0 mo,3019,100,NA,NA
all cancer sites,2000-2017,all sexes,black,unstaged,<65,12 mo,3019,65.9,64.1,67.6
all cancer sites,2000-2017,all sexes,black,unstaged,<65,24 mo,3019,57.6,55.7,59.4
all cancer sites,2000-2017,all sexes,black,unstaged,<65,36 mo,3019,52.9,51,54.7
all cancer sites,2000-2017,all sexes,black,unstaged,<65,48 mo,3019,50.3,48.4,52.2
all cancer sites,2000-2017,all sexes,black,unstaged,<65,60 mo,3019,48.5,46.5,50.4
all cancer sites,2000-2017,all sexes,black,unstaged,<65,72 mo,3019,46.9,44.9,48.8
all cancer sites,2000-2017,all sexes,black,unstaged,<65,84 mo,3019,45.5,43.5,47.5
all cancer sites,2000-2017,all sexes,black,unstaged,<65,96 mo,3019,43.3,41.3,45.4
all cancer sites,2000-2017,all sexes,black,unstaged,<65,108 mo,3019,42.4,40.3,44.5
all cancer sites,2000-2017,all sexes,black,unstaged,<65,120 mo,3019,41.4,39.3,43.6
all cancer sites,2000-2017,all sexes,black,unstaged,>65,0 mo,3974,100,NA,NA
all cancer sites,2000-2017,all sexes,black,unstaged,>65,12 mo,3974,46.9,45.3,48.6
all cancer sites,2000-2017,all sexes,black,unstaged,>65,24 mo,3974,38.6,36.9,40.3
all cancer sites,2000-2017,all sexes,black,unstaged,>65,36 mo,3974,33.6,31.9,35.4
all cancer sites,2000-2017,all sexes,black,unstaged,>65,48 mo,3974,31,29.3,32.8
all cancer sites,2000-2017,all sexes,black,unstaged,>65,60 mo,3974,28.1,26.3,29.9
all cancer sites,2000-2017,all sexes,black,unstaged,>65,72 mo,3974,25.9,24.1,27.8
all cancer sites,2000-2017,all sexes,black,unstaged,>65,84 mo,3974,24,22.1,25.9
all cancer sites,2000-2017,all sexes,black,unstaged,>65,96 mo,3974,22.4,20.5,24.4
all cancer sites,2000-2017,all sexes,black,unstaged,>65,108 mo,3974,21.6,19.5,23.7
all cancer sites,2000-2017,all sexes,black,unstaged,>65,120 mo,3974,20.3,18.1,22.5
all cancer sites,2000-2017,all sexes,all races,invasive,all ages,0 mo,1072704,100,NA,NA
all cancer sites,2000-2017,all sexes,all races,invasive,all ages,12 mo,1072704,78.9,78.8,79
all cancer sites,2000-2017,all sexes,all races,invasive,all ages,24 mo,1072704,72.3,72.2,72.4
all cancer sites,2000-2017,all sexes,all races,invasive,all ages,36 mo,1072704,68.7,68.6,68.8
all cancer sites,2000-2017,all sexes,all races,invasive,all ages,48 mo,1072704,66.2,66.1,66.3
all cancer sites,2000-2017,all sexes,all races,invasive,all ages,60 mo,1072704,64.3,64.2,64.4
all cancer sites,2000-2017,all sexes,all races,invasive,all ages,72 mo,1072704,62.7,62.6,62.8
all cancer sites,2000-2017,all sexes,all races,invasive,all ages,84 mo,1072704,61.3,61.2,61.4
all cancer sites,2000-2017,all sexes,all races,invasive,all ages,96 mo,1072704,59.9,59.8,60.1
all cancer sites,2000-2017,all sexes,all races,invasive,all ages,108 mo,1072704,58.6,58.5,58.8
all cancer sites,2000-2017,all sexes,all races,invasive,all ages,120 mo,1072704,57.4,57.3,57.6
all cancer sites,2000-2017,all sexes,all races,invasive,<65,0 mo,493917,100,NA,NA
all cancer sites,2000-2017,all sexes,all races,invasive,<65,12 mo,493917,86.5,86.4,86.6
all cancer sites,2000-2017,all sexes,all races,invasive,<65,24 mo,493917,80.6,80.5,80.7
all cancer sites,2000-2017,all sexes,all races,invasive,<65,36 mo,493917,77.3,77.1,77.4
all cancer sites,2000-2017,all sexes,all races,invasive,<65,48 mo,493917,75.1,75,75.3
all cancer sites,2000-2017,all sexes,all races,invasive,<65,60 mo,493917,73.5,73.4,73.6
all cancer sites,2000-2017,all sexes,all races,invasive,<65,72 mo,493917,72.2,72.1,72.3
all cancer sites,2000-2017,all sexes,all races,invasive,<65,84 mo,493917,71.2,71,71.3
all cancer sites,2000-2017,all sexes,all races,invasive,<65,96 mo,493917,70.3,70.1,70.4
all cancer sites,2000-2017,all sexes,all races,invasive,<65,108 mo,493917,69.5,69.3,69.6
all cancer sites,2000-2017,all sexes,all races,invasive,<65,120 mo,493917,68.8,68.6,69
all cancer sites,2000-2017,all sexes,all races,invasive,>65,0 mo,578787,100,NA,NA
all cancer sites,2000-2017,all sexes,all races,invasive,>65,12 mo,578787,72.4,72.3,72.5
all cancer sites,2000-2017,all sexes,all races,invasive,>65,24 mo,578787,65.3,65.2,65.4
all cancer sites,2000-2017,all sexes,all races,invasive,>65,36 mo,578787,61.4,61.2,61.5
all cancer sites,2000-2017,all sexes,all races,invasive,>65,48 mo,578787,58.6,58.5,58.8
all cancer sites,2000-2017,all sexes,all races,invasive,>65,60 mo,578787,56.5,56.3,56.6
all cancer sites,2000-2017,all sexes,all races,invasive,>65,72 mo,578787,54.6,54.4,54.8
all cancer sites,2000-2017,all sexes,all races,invasive,>65,84 mo,578787,52.9,52.7,53.1
all cancer sites,2000-2017,all sexes,all races,invasive,>65,96 mo,578787,51.1,50.9,51.4
all cancer sites,2000-2017,all sexes,all races,invasive,>65,108 mo,578787,49.4,49.2,49.7
all cancer sites,2000-2017,all sexes,all races,invasive,>65,120 mo,578787,47.8,47.6,48.1
all cancer sites,2000-2017,all sexes,all races,early,all ages,0 mo,581867,100,NA,NA
all cancer sites,2000-2017,all sexes,all races,early,all ages,12 mo,581867,96.5,96.4,96.5
all cancer sites,2000-2017,all sexes,all races,early,all ages,24 mo,581867,94.7,94.6,94.8
all cancer sites,2000-2017,all sexes,all races,early,all ages,36 mo,581867,93.4,93.3,93.5
all cancer sites,2000-2017,all sexes,all races,early,all ages,48 mo,581867,92.4,92.2,92.5
